NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
136753,2016-9-14 15:25,莫蘭蒂颱風,slope slump,121.178186,23.053806,臺東縣,關山鎮,臺東縣關山鎮電光里東興75號,路癱停電,1001403
136907,2016-9-14 15:08,莫蘭蒂颱風,road blockage,120.802942,22.748021,屏東縣,霧臺鄉,屏東縣霧臺鄉,"台24線約28.5k有落石及樹木倒塌,影響人車通行",1001327
137102,2016-9-14 14:53,莫蘭蒂颱風,road blockage,120.257983,23.029033,臺南市,永康區,臺南市永康區永埔街71號前,前方路面有鐵門,6703100
137293,2016-9-14 14:37,莫蘭蒂颱風,rock fall,121.222787,22.930994,臺東縣,東河鄉,臺東縣東河鄉尚德村11鄰(東23),東23線-1，1.8K處土石塌方，通往東河泰源方向路不通。 ==================== 東23線-1，1.8K處土石塌方，通往東河泰源村方向路不通。 ,1001407
135511,2016-9-14 14:00,莫蘭蒂颱風,road blockage,121.154201,24.063452,南投縣,仁愛鄉,南投縣仁愛鄉大同村,投89線7K處發生土石流，交通中斷。,1000813
135578,2016-9-14 13:50,莫蘭蒂颱風,rock fall,121.149867,24.053714,南投縣,仁愛鄉,南投縣仁愛鄉大同村,投89線49K處（約土地公廟）有土石崩落，目前尚可通行。,1000813
135599,2016-9-14 13:45,莫蘭蒂颱風,roadbed loss,121.428018,23.640716,花蓮縣,光復鄉,花蓮縣光復鄉西富村民治街15號,光復鄉西富村民治街15號附近道路上地基流失，目前已由本所建設課封住該路段，另附近有替代道路可通行。,1001507
135665,2016-9-14 13:35,莫蘭蒂颱風,road blockage,121.526364,23.83963,花蓮縣,壽豐鄉,花蓮縣壽豐鄉,台9丙荖溪橋20公里落石影響交通,1001506
135675,2016-9-14 13:33,莫蘭蒂颱風,rock fall,121.236126,23.179146,花蓮縣,卓溪鄉,花蓮縣卓溪鄉古風村23鄰19號,23鄰21號黃海青住宅後方有土石崩落，泥沙流不出去。,1001513
137572,2016-9-14 12:21,莫蘭蒂颱風,slope slump,121.13358,23.980175,南投縣,仁愛鄉,南投縣仁愛鄉大同村,投83線萬大往霧社方向5K處土石坍方，僅小車尚可通行。,1000813
136084,2016-9-14 11:40,莫蘭蒂颱風,rock fall,121.424884,23.385682,臺東縣,長濱鄉,臺東縣長濱鄉三間村20鄰南溪,南溪部落通往20鄰道路有幾處土石坍方,1001408
136087,2016-9-14 11:30,莫蘭蒂颱風,rock fall,121.471067,23.376317,臺東縣,長濱鄉,臺東縣長濱鄉三間村三間屋台11線上,"位於三間屋社區通往大俱來社區間的馬路上,產業道路的土石衝向台11線馬路上",1001408
135264,2016-9-14 11:23,莫蘭蒂颱風,roadbed loss,120.374935,23.004619,臺南市,龍崎區,臺南市龍崎區土崎里土崎高分117右18前60公尺,臺南市龍崎區土崎里土崎高分117右18前60公尺，路基突起掏空影響出入安全,6703000
135268,2016-9-14 11:22,莫蘭蒂颱風,rock fall,121.492309,22.65902,臺東縣,綠島鄉,臺東縣綠島鄉,環島公路(公館至溫泉聚落)多處土石崩塌及海浪侵襲夾帶之沙石及浮木堆環島公路上，俟颱風過後將通知開口契約廠商進行清除工作。,1001411
